ID,Artist,Song,BPM,Key,Notes,Key_Scalar
1,100 gecs,geccraft,84,8A,BPM: 84.5/169,7
2,100 gecs,money machine,99,8A,umru remix; drake - forever,7
3,2 Mello,BREAK DOWN BREAK UP,144,8A,Ablues,7
4,21 Savage & Metro Boomin,No Heart,140,8A,,7
5,3 Doors Down,When I'm Gone,148,8A,,7
6,+44,When Your Heart Stops Beating,85,8A,BPM: 85/170,7
7,A. G. Cook,Illuminated Biker Gang,95,8A,,7
8,A. G. Cook ft. Sarah Bonito & Hannah Diamond,The Darkness pt2,85,8A,BPM: 85/170; Megamix,7
9,A. G. Cook & Cecile Believe,𝟹G,136,8A,,7
10,A Touch Of Class,Around the World,132,8A,La La La La La; lalala,7
11,ABBA,"Money, Money, Money",122,8A,BPM: ~122,7
12,ABC,King Without A Crown,107,8A,,7
13,AC/DC,Hells Bells,106,8A,BPM: ~106,7
14,AC/DC,Have a Drink on Me,122,8A,BPM: ~122; Ablues,7
15,AC/PC,STAIRWAY TO HEAVEN,87,8A,BPM: 87/174,7
16,Adame DJ,Beat Maquinario,135,8A,Aphr,7
17,Addison Rae,New York,148,8A,kick drum,7
18,Addison Rae,Fame is a Gun,138,8A,A~A#min,7
19,Addison Rae,Times Like These,110,8A,"Amin verse, Adr chorus",7
20,Aesop Rock,Costco,80,8A,BPM: 80/160; Aphr,7
21,AJR,Burn The House Down,92,8A,,7
22,Akon ft. Snoop Dogg,I Wanna Love You,100,8A,i wanna fuck you; you already know,7
23,Ahadadream x Priya Ragu x Skrillex,TAKA,128,8A,we feelin ok,7
24,Alcazar,Crying At The Discoteque,138,8A,,7
25,"Alesso, Katy Perry",When I'm Gone,125,8A,,7
26,ali rq ft. goldilux,love you bye,150,8A,some Fmin,7
27,Alice Longyu Gao,Rich Bitch Juice,81,8A,BPM: ~81/162; Count Baldor Remix,7
28,Alice Longyu Gao,Quarantine Rly Sucks,120,8A,Gupi Remix,7
29,Alice Longyu Gao,Underrated Popstar,82,8A,BPM: 82/164,7
30,Alice Longyu Gao,Come 2 Brazil,90,8A,,7
31,Alien Ant Farm,Smooth Criminal,126,8A,BPM: ~126,7
32,Aliyah's Interlude,Fashion Icon,138,8A,Aphrdom,7
33,Alnaht,Wrong,123,8A,,7
34,Ambassadors of Funk ft. M. C. Mario,Supermarioland,120,8A,"Super Mario Land; Aphr, some Amin, chorus is Cmaj",7
35,Ampzer,MC,100,8A,,7
36,Amy Winehouse,You Know I'm No Good,104,8A,"Aharm, Dharm verses",7
37,Amyl and The Sniffers,70's Street Munchies,89,8A,BPM: ~89; Ablues,7
38,Anamanaguchi,Territorial Pissings,93,8A,BPM: 93/186; Ablues,7
39,Animals,The House of the Rising Sun,81,8A,BPM: ~81.3/162.6/244; 6/8,7
40,Anna Lunoe ft. Shanique Marie,Polite,135,8A,,7
41,Annie,Happie With You,99,8A,,7
42,Annie,Happie With You,121,8A,SebastiAn Remix; Aphr,7
43,Aphex Twin,Bucephalus Bouncing Ball [Chosen by Warp co-founder Steve Beckett],84,8A,BPM: 84/168,7
44,Aphex Twin,Hy A Scullyas Lyf Adhagrow,130,8A,,7
45,Arca,Fossil,84,8A,BPM: 84/168,7
46,Arca,Feminine,83,8A,BPM: 83/166,7
47,Arca,Reverie,124,8A,,7
48,Arca,Slit Thru,103,8A,,7
49,Ariana Grande,No Tears Left To Cry,100,8A,"~100 intro, 124, stays 122; BPM: ~100 intro, 124, stays 122",7
50,Arman Long,LEVEL 4 SMOKER,146,8A,,7
51,Ashnikko,Nice Girl,100,8A,,7
52,ATB,9PM,130,8A,Till I Come,7
53,ATB x Topic x A7S,Your Love,126,8A,9PM,7
54,The Avalanches,Stay Another Season,102,8A,BPM: 102.8; start is Flyd±0,7
55,The Avalanches,Little Journey,77,8A,"start is Adr, middle is Emin, end is Amin; 77, 117.3, ~120; BPM: 77, 117.3, ~120",7
56,"The Avalanches ft. Sananda Maitreya, Vashti Bunyan",Reflecting Light,83,8A,BPM: 83/166,7
57,Avicii vs Lenny Kravitz,Superlove,128,8A,,7
58,Azealia Banks,Anna Wintour,122,8A,,7
59,Backstreet Boys,Don't Go Breaking My Heart,95,8A,,7
60,Backstreet Boys,As Long As You Love Me,100,8A,,7
61,BAD BUNNY,BAILE INoLVIDABLE,89,8A,BPM: 89/178,7
62,Bad Religion,You,155,8A,BPM: ~155,7
63,Bad Religion,American Jesus,91,8A,BPM: ~91/182,7
64,Bad Religion,Hear It,108,8A,BPM: ~108/216; Ablues,7
65,Baker Boy,Cool As Hell,111,8A,,7
66,Baker Boy ft. G Flip,My Mind,96,8A,,7
67,BanYa,Extravaganza,97,8A,BPM: 97/194; some Bmin,7
68,Baseck,Let It Go,155,8A,,7
69,Basement Jaxx,Stop 4 Love,126,8A,chords are Amin+30 Bmin+30 Cmaj+30 Fmaj7+30 Emin+30,7
70,Basement Jaxx ft. Lisa Kekaula,Good Luck,153,8A,"+30, some Adr+30, end is Aphr+30",7
71,Basement Jaxx,If I Ever Recover,127,8A,,7
72,bbno$ & Yung Gravy (BABY GRAVY),Goodness Gracious,155,8A,fucked up; Ablues,7
73,beabadoobee,Cologne,130,8A,,7
74,Beastie Boys,Make Some Noise,98,8A,,7
75,The Beatles,I Want You,120,8A,BPM: ~120; She's So Heavy; Ablues; some Dmin 3/4 ~140,7
76,The Beatles,Glass Onion,121,8A,BPM: ~121; some Fmaj,7
77,The Beatles,While My Guitar Gently Weeps,115,8A,BPM: ~115; choruses are Amaj,7
78,The Beatles,Now And Then,87,8A,BPM: 87/174; Bmin chorus,7
79,Beck,Where It's At,97,8A,"BPM: ~97/194; Adr, some Amaj",7
80,BENEE,Soaked,93,8A,Ampic,7
81,BENEE,A Little While,110,8A,,7
82,"BENEE ft. Kenny Beats, Bakar",Night Garden,89,8A,,7
83,BENEE,All The Time,113,8A,,7
84,Benjamin Theves,Texas,122,8A,,7
85,Benjamin Theves,Texas,122,8A,SebastiAn Remix; some Aphr+30; chords are Amin+15 Gmin+15 Cmin+15 F#min+15,7
86,Beyoncé,7/11,136,8A,,7
87,"Beyoncé, JAY-Z, Childish Gambino, Oumou Sangaré",MOOD 4 EVA,106,8A,,7
88,BICEP,OPAL,130,8A,inst,7
89,BICEP,OPAL,127,8A,FOUR TET REMIX; inst,7
90,Big Brovaz,Nu Flow,148,8A,triplet swing,7
91,Big Face,My Eyeball,126,8A,,7
92,Big Sean ft. Nicki Minaj,Dance Remix,80,8A,BPM: 80/160; A$$; Ass,7
93,Bill Withers,Ain't No Sunshine,78,8A,BPM: 78/156,7
94,Billie Eilish,listen before i go,100,8A,,7
95,Billie Eilish,I Didn't Change My Number,71,8A,BPM: 71/142,7
96,Billie Eilish,Your Power,130,8A,,7
97,Billy Idol,Wasteland,97,8A,no religion at all,7
98,Björk,Human Behaviour,109,8A,"BPM: 109.45; Ablues-30, some A#-30blues",7
99,Björk,Crying,116,8A,BPM: 116.186,7
100,Björk,Come To Me,86,8A,"BPM: 86.75; Aphrdom, some Aphr, some Amin",7
101,Björk,Violently Happy,120,8A,BPM: 120.3,7
102,Björk,Aurora,120,8A,some Ddr,7
103,Björk,Notget,90,8A,Aphr,7
104,Björk,Blissing Me,106,8A,,7
105,Björk,Utopia,77,8A,BPM: 77/154; some Ddr,7
106,Björk,There's More To Life Than This,124,8A,BPM: 124.22,7
107,Black Box,Ride on Time,120,8A,right on time; gotta get up,7
108,The Black Eyed Peas,My Humps,124,8A,,7
109,The Black Eyed Peas,Boom Boom Pow,130,8A,,7
110,The Black Eyed Peas ft. 50 Cent,Let The Beat Rock,137,8A,Boys Noize Megamix,7
111,The Black Eyed Peas ft. Gucci Mane,Let The Beat Rock,137,8A,Boys Noize Megamix,7
112,The Black Eyed Peas ft. Kid Cudi,Boom Boom Style,130,8A,Zuper Blahq Megamix,7
113,The Black Eyed Peas,Boom Boom Guetta,128,8A,David Guetta's Electro Hop Remix; Ablues,7
114,The Black Eyed Peas,Boom Boom Wow,130,8A,D.J. will.i.am Megamix; music sounds better with you,7
115,Black Flag,Rise Above,107,8A,BPM: ~107; Ablues,7
116,Black Flag,Fix Me,95,8A,BPM: ~95/190,7
117,black midi,"Near DT, MI",100,8A,"BPM: ~100/200; some Gdr, Dblues",7
118,Blank Banshee,Ammonia Clouds,146,8A,chords are Fmaj7 Gmaj7 Cmaj7 Dmaj7,7
119,Blank Banshee,Cyber Zodiac,74,8A,BPM: 74/148; end is Bmin,7
120,Blank Banshee,Lunar,110,8A,,7
121,Blank Banshee,Zenesis,100,8A,,7
122,Blank Banshee,Metal Rain,90,8A,some Ebmaj,7
123,Blank Banshee,Archipelago,87,8A,BPM: 87.5/175,7
124,The Bloody Beetroots,Cornelius,126,8A,Aphr,7
125,Blue Oyster Cult,Don't Fear the Reaper,142,8A,BPM: ~142,7
126,Blur,Beetlebum,90,8A,BPM: ~90; Ampic,7
127,Bobby Brown,My Prerogative,110,8A,Aharm,7
128,Bon Iver,Skinny Love,76,8A,BPM: ~76,7
129,Bonnie Tyler,Holding Out for a Hero,150,8A,BPM: ~150,7
130,Bootsy Collins ft. Kelli Ali,Play with Bootsy,120,8A,,7
131,Boys Noize,I Go Raven,128,8A,inst,7
132,Boys Noize,Arcade Robot,128,8A,,7
133,Boys Noize,Shine Shine,130,8A,,7
134,Boys Noize,Shine Shine,126,8A,Apparat Remix; inst,7
135,Boys Noize,Vergiftet,129,8A,,7
136,Boys Noize,Don't Believe The Hype,123,8A,Proxy Remix; Aphr,7
137,Boys Noize ft. Corbin,IU,140,8A,,7
138,Boys Noize,Heart Attack,130,8A,inst,7
139,Boys Noize,Transmission,136,8A,"Mr. Oizo Remix; Aphr+25, some G#min+40, some Gmin+40",7
140,Breakbot ft. Delafleur,Be Mine Tonight,116,8A,BPM: ~116,7
141,"Bree Runway, Yung Baby Tate",Damn Daniel,110,8A,BPM: ~110,7
142,Bree Runway,HOT HOT,103,8A,"Aphr, some Amin",7
143,Britney Spears,Touch Of My Hand,100,8A,,7
144,Britney Spears,Criminal,108,8A,Adr; Amin bridge,7
145,Britney Spears,If U Seek Amy,130,8A,lalala; some Aphr; triplet,7
146,BROCKHAMPTON,GOLD,110,8A,Aharm,7
147,BROCKHAMPTON,BANK,160,8A,,7
148,BROCKHAMPTON,QUEER,164,8A,"actually major, lots of E in verses",7
149,BROCKHAMPTON,TOKYO,70,8A,BPM: 70/140.05,7
150,BROCKHAMPTON,LIQUID,70,8A,BPM: 70/140,7
151,BROCKHAMPTON,STUPID,70,8A,BPM: 70/140,7
152,BROCKHAMPTON,BERLIN,71,8A,BPM: 71/142,7
153,BROCKHAMPTON,DEARLY DEPARTED,129,8A,3/4,7
154,BROCKHAMPTON,Hood Still Love Me,70,8A,BPM: 70/140; Adr,7
155,BROCKHAMPTON,N.S.T.,84,8A,,7
156,brokeNCYDE,Get Crunk,77,8A,BPM: 77/154,7
157,Bruno Mars,When I Was Your Man,73,8A,BPM: ~73/146,7
158,BTS,ON,106,8A,,7
159,The Buggles,The Plastic Age,140,8A,some Amaj,7
160,The Buggles,Island,128,8A,,7
161,Burak Yeter ft. Danelle Sandoval,Tuesday,99,8A,,7
162,Busta Rhymes,Break Ya Neck,83,8A,BPM: 83/166; nod your head,7
163,Busta Rhymes,Party Is Goin' On Over Here,101,8A,,7
164,Calvin Harris,Neon Rocks,103,8A,inst,7
165,Calvin Harris,Certified,101,8A,inst,7
166,Calvin Harris,Love Souvenir,122,8A,Ddr chorus; inst,7
167,Calvin Harris ft. Kelis,Bounce,128,8A,,7
168,Calvin Harris ft. Rihanna,This Is What You Came For,124,8A,,7
169,Calvin Harris ft. Dua Lipa,One Kiss,124,8A,,7
170,Cardigans,Lovefool,113,8A,Amaj chorus,7
171,CARIBOU,Can't Do Without You,128,8A,,7
172,Carly Simon,You're So Vain,105,8A,BPM: ~105; you think this song is about you,7
173,Caroline Polachek,Welcome To My Island,135,8A,George Daniel & Charli XCX Remix,7
174,Carly Rae Jepsen,Julien,120,8A,,7
175,Cassius,Club soixante-quinze,75,8A,,7
176,Cassius,Invisible,71,8A,BPM: 71/142; 9/4,7
177,Cassius,Club 73,110,8A,A~A#min,7
178,Cassius,I Love U So,125,8A,BPM: 125.84; triplet,7
179,Cece Natalie,[Be] Forever,140,8A,,7
180,cece natalie,Forever,143,8A,Be; umru & cutspace queenout,7
181,Charli XCX,Nuclear Seasons,115,8A,,7
182,Charli XCX,How Can I,85,8A,BPM: 85/170,7
183,Charli XCX ft. Lil Yachty,After The Afterparty,100,8A,Vice Remix; Aphr drop,7
184,Charli xcx,I think about it all the time featuring bon iver,122,8A,,7
185,The Chats,Identity Theft,92,8A,BPM: ~92/184; Ablues,7
186,The Chats,Struck By Lightning,134,8A,BPM: ~134/268; Ablues,7
187,Chemical Brothers,The Boxer,97,8A,or Flyd,7
188,The Chemical Brothers,Midnight Madness,124,8A,guitar is Dmin,7
189,Cibo Matto,Sugar Water,78,8A,BPM: 78/156,7
190,Chic,Le Freak,118,8A,BPM: ~118; Adr,7
191,Chicago,25 or 6 to 4,147,8A,BPM: ~147,7
192,Christopher Booth,Everyone Knows That,124,8A,Ulterior Motives,7
193,Christina Aguilera,What A Girl Wants,142,8A,Cmaj chorus,7
194,Christopher Cross,Arthur's Theme,136,8A,BPM: ~136; Best That You Can Do; when you get caught between the moon and new york city; Amaj chorus,7
195,Ciara,Gimmie Dat,132,8A,,7
196,Clairo,Pretty Girl,113,8A,,7
197,Clairo,4EVER,102,8A,forever,7
198,Clarence Clarity,Will To Believe,136,8A,BPM: ~136; some Aphr,7
199,Clarence Clarity,"Those Who Can't, Cheat",94,8A,BPM: ~94,7
200,Clarence Clarity,Next Best Thing,94,8A,key change +1 to A#min,7
201,Clarence Clarity,Fold 'Em,95,8A,,7
202,Clarence Clarity,Tru Love,102,8A,e; true love; end is Bmin,7
203,The Clash,Rock the Casbah,128,8A,BPM: ~128,7
204,Clean Bandit ft. Anne-Marie & S. Paul,Rockabye,102,8A,,7
205,Clean Bandit and Mabel ft. 24kGoldn,Tick Tock,101,8A,,7
206,Cobra Starship ft. Leighton Meester,Good Girls Go Bad,120,8A,,7
207,Coldplay,A Rush of Blood to the Head,138,8A,BPM: 138.36,7
208,Coldplay ft. Rihanna,Princess Of China,85,8A,,7
209,Coldplay,Adventure of a Lifetime,112,8A,,7
210,The Commodores,Brick House,106,8A,BPM: ~106; Adr,7
211,Confidence Man,SICKO,100,8A,Ampic,7
212,Countess Luann,"Chic, C'est La Vie",130,8A,,7
213,countess luann,chic c'est la vie 130,130,8A,dvnots remix,7
214,Crazy Town,Butterfly,103,8A,BPM: ~103.43,7
215,CRUSH / CRUSH3D,Funfair 04,80,8A,BPM: 80/160; Aphr; some Cphr,7
216,CRUSH / CRUSH3D,Funfair 04,80,8A,BPM: 80/160; B; Aphr; some Cphr,7
217,Crydajam,Playground,125,8A,,7
218,Crystal Castles,Air War,120,8A,"+25, ±0",7
219,Crystal Castles,Black Panther,150,8A,,7
220,Crystal Castles,PLAGUE,130,8A,,7
221,CupcakKe,Queef,73,8A,BPM: 73.5/147,7
222,Cut Copy,Future,119,8A,,7
223,Cut Copy,Future,121,8A,Zongamin Remix; Aharm,7
224,Cut Copy,Future,120,8A,Chromeo Remix,7
225,Cyberpunk 2077,Marcin Przybyłowicz - V,90,8A,inst,7
226,Cyberpunk 2077,Paul Leonard-Morgan - Extraction Action,60,8A,BPM: 60/120; inst; Aphr-15,7
227,Cyberpunk 2077,P.T. Adamczyk - The Rebel Path,90,8A,inst; Aphr,7
228,Cyberpunk 2077,Paul Leonard-Morgan - The Streets Are Long-Ass Gutters,130,8A,inst,7
229,Cyberpunk 2077,P.T. Adamczyk - Outsider No More,116,8A,,7
230,Cyberpunk 2077,Marcin Przybyłowicz - Cloudy Day,75,8A,BPM: 75/150; inst; Aphr,7
231,Cyberpunk 2077,Marcin Przybyłowicz - Wushu Dolls,75,8A,BPM: 75/150; inst; chromatic,7
232,Cyberpunk 2077,P.T. Adamczyk - Scavenger Hunt,140,8A,inst; Aphr,7
233,Cyberpunk 2077,P.T. Adamczyk - Мусорщики,70,8A,"BPM: 70/140; inst; Aphr, some G#min",7
234,Cyberpunk 2077,Marcin Przybyłowicz - Close Probing,65,8A,BPM: 65/130; inst,7
235,Cyberpunk 2077,Paul Leonard-Morgan - There's Gonna Be A Parade!,65,8A,BPM: 65/130; inst,7
236,Cyberpunk 2077,Paul Leonard-Morgan - Trouble Finds Trouble,130,8A,inst; some A#min,7
237,Cyberpunk 2077,P.T. Adamczyk - You Shall Never Have to Forgive Me Again,133,8A,BPM: 133.5; inst,7
238,Cyberpunk 2077,P.T. Adamczyk - Code Red Initiated,89,8A,inst,7
239,Cyberpunk 2077,P.T. Adamczyk - The Heist,89,8A,inst; lots of Flyd,7
240,Cyberpunk 2077,Marcin Przybyłowicz - Streetfighters,90,8A,,7
241,Cyberpunk 2077,Marcin Przybyłowicz - Patriots,90,8A,di,7
242,Cyberpunk 2077,Paul Leonard-Morgan - Mining Minds,65,8A,BPM: 65/130,7
243,Cyberpunk 2077,P.T. Adamczyk - Rite of Passage,108,8A,,7
244,Cyberpunk 2077,P.T. Adamczyk - The Voice In My Head,108,8A,inst,7
245,Cyberpunk 2077,Marcin Przybyłowicz - Modern Anthill,70,8A,BPM: 70/140; inst,7
246,Cyberpunk 2077,Paul Leonard-Morgan - The Sacred And The Profane,70,8A,inst,7
247,Cyberpunk 2077,P.T. Adamczyk - Kang Tao Down,108,8A,17/16; Adr,7
248,Cyberpunk 2077,Marcin Przybyłowicz - Cyberwildlife Park,132,8A,Aphr,7
249,Cyberpunk 2077,Marcin Przybyłowicz - Consumer Cathedral,132,8A,,7
250,Cyberpunk 2077,P.T. Adamczyk - Juiced Up,132,8A,,7
251,Cyberpunk 2077,Paul Leonard-Morgan - Bells of Laguna Bend,120,8A,,7
252,Cyberpunk 2077,Marcin Przybyłowicz - Urban Downunder,100,8A,,7
253,Cyberpunk 2077,P.T. Adamczyk - Atlantis,128,8A,"128, 138; BPM: 128, 138",7
254,Cyberpunk 2077,Marcin Przybyłowicz - Cyberninja,90,8A,,7
255,Cyberpunk 2077,Paul Leonard-Morgan - The Suits Are Scared,120,8A,,7
256,Cyberpunk 2077,Paul Leonard-Morgan - Tower Lockdown,120,8A,,7
257,Cyberpunk 2077,Paul Leonard-Morgan - Adam Smasher,70,8A,BPM: 70/140,7
258,Cyberpunk 2077,Paul Leonard-Morgan - Hanako & Yorinobu,120,8A,,7
259,Cyberpunk 2077,Marcin Przybyłowicz - Been Good To Know Ya,70,8A,BPM: 70/140,7
260,Cyberpunk 2077,heXXXer - Future Drugs,138,8A,Entropia; Aphr,7
261,Cyberpunk 2077,Forlorn Scourge - Acid Breather,91,8A,"Mastiff; Aphr; ~91/182, ~130; BPM: ~91/182, ~130",7
262,Cyberpunk 2077,Lick Switch - Blurred,140,8A,Earth Trax; inst,7
263,Cyberpunk 2077,Code 137 - Suicide,91,8A,Geno Lenardo ft. Zeale,7
264,Cyberpunk 2077,Triple-B ft. Gun-Fu - Pluck U,86,8A,BPM: 86/172; Konrad OldMoney ft. Ded Stark; never will i die; Aphr,7
265,Cyberpunk 2077,Wormview - Ashes And Diamonds,85,8A,BPM: 85/170; Hatti Vatti; inst,7
266,Cyberpunk 2077,Mona Mitchell - Ice Maddox,135,8A,Foql; inst,7
267,Cyberpunk 2077,Homeschool Dropouts - Night City Aliens,175,8A,"BPM: ~175; The Armed; Aloc, Gmin chorus",7
268,Cyberpunk 2077,Reviscerator - Yellow Box,132,8A,Procesor Plus; inst,7
269,Cyberpunk 2077,Bara Nova - Harm Sweaty Pit,130,8A,Nina Kraviz,7
270,Cyberpunk 2077,Dukes of Azure - Darkretro,128,8A,Count,7
271,Cyberpunk 2077,XerzeX - Heave Ho,95,8A,Konrad OldMoney ft. Frawst; money on the double; Aphr,7
272,Cyberpunk 2077,Spirit Machines - Candy Shell,135,8A,,7
273,Cyberpunk 2077,Skin On Flesh - El Tiempo,85,8A,BPM: 85/170,7
274,Cyberpunk 2077,Private Press - Sleepy Dust,125,8A,,7
275,Cypis,Piękne Chwile,147,8A,blue,7
276,DaBaby,Goin Baby,133,8A,BPM: ~133,7
277,Dababy,Suge,75,8A,BPM: 75/150; Yea Yea; Aphr,7
278,DaBaby,Find My Way,103,8A,,7
279,Daft Punk,Around The World,128,8A,M.A.W Remix; Adr,7
280,Daft Punk,Nightvision,120,8A,BPM: 120.02,7
281,Daft Punk,Veridis Quo,106,8A,BPM: 106.894,7
282,Daft Punk,The Prime Time of Your Life,128,8A,BPM: 128.41; chords are Amin F#min7 Fmaj7 Dmin Emin,7
283,Daft Punk,The Prime Time of Your Life,90,8A,BPM: 90.5; ATOM Remix,7
284,Daft Punk,Technologic,126,8A,Digitalism Remix,7
285,Daft Punk ft. Dj pFeL,Robot Rock,97,8A,ATOM Remix,7
286,Daft Punk,The Game Has Changed,100,8A,,7
287,Daft Punk,Nocturne,106,8A,,7
288,Daft Punk,End of Line,98,8A,,7
289,Daft Punk,End of Line,123,8A,Remixed by Boys Noize,7
290,Daft Punk,End of Line,98,8A,Remixed by Photek,7
291,Daft Punk,End of Line,98,8A,Remixed by Tame Impala,7
292,Daft Punk,Castor,117,8A,,7
293,Daft Punk,Give Life Back To Music,119,8A,BPM: 119.05,7
294,Daft Punk,GLBTM,119,8A,BPM: 119.05; Studio Outtakes; give life back to music,7
295,Daft Punk,The Game of Love,90,8A,BPM: 90.05,7
296,Daft Punk,Giorgio by Moroder,113,8A,BPM: 113.19,7
297,Daft Punk,Prime,117,8A,2012 Unfinished,7
298,The Dandy Warhols,Not If You Were The Last Junkie On Earth,116,8A,heroine is so passé; Ablues,7
299,Danny L Harle,Broken Flowers,122,8A,"some Gmaj, chords are Amin Emin Fmaj Cmaj Gmaj Dmaj Fmaj Cmaj",7
300,Danny L Harle,1UL,123,8A,one you love,7
301,David Bowie,DJ,113,8A,Adr,7
302,David Deejay ft. Dony,Sexy Thing,120,8A,,7
303,"David Guetta, Anne-Marie, Coi Leray",Baby Don’t Hurt Me,128,8A,,7
304,David Guetta ft. Sia & Fetty Wap,Bang My Head,108,8A,,7
305,De La Soul,Potholes in My Lawn,94,8A,,7
306,De La Soul,Me Myself And I,115,8A,,7
307,DEAD HEAT RIDERS,HIDEKI NAGANUMA  - KEEP IT 2GETHER,135,8A,together; Adr,7
308,Dead Kennedys,Holiday in Cambodia,97,8A,"BPM: ~97/194; some Amaj, some Adr",7
309,dead prez,Hip Hop,79,8A,BPM: 79/158,7
310,deadmau5,Bot,128,8A,,7
311,deadmau5,Word Problems,128,8A,,7
312,Melleefresh vs deadmau5,Afterhours,128,8A,deadmau5 Smoothy House Remix,7
313,deadmau5 & Wolfgang Gartner,Channel 42,128,8A,,7
314,deadmau5,Long Walk Off A Short Pier,108,8A,Adr,7
315,deadmau5,SATRN,128,8A,inst,7
316,Death Grips,Hustle Bones,110,8A,,7
317,Death Grips,You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,70,8A,BPM: ~70/140/210; 6/8,7
318,Deb Never,Disassociate,76,8A,BPM: 76/152; chorus is Aphr,7
319,Delta Goodrem,Wings,120,8A,these wings were meant to fly,7
320,Delta Heavy,Ghost,87,8A,BPM: 87/174,7
321,DELTARUNE,Toby Fox - The Legend,110,8A,"end is 3/4; 110, 55/110/165; BPM: 110, 55/110/165",7
322,DELTARUNE,Toby Fox - Empty Town,46,8A,BPM: 46/92/138; 3/4,7
323,DELTARUNE Chapter 2,Toby Fox - Pandora Palace,100,8A,BPM: 100/200,7
324,DELTARUNE Chapter 2,Toby Fox & Lena Raine & Marcy Nabors - Attack of the Killer Queen,144,8A,Aharm+40,7
325,DELTARUNE Chapter 2,Toby Fox - The Dark Truth,100,8A,,7
326,DELTARUNE Chapters 3+4,Toby Fox - Dark Sanctuary,63,8A,"BPM: 63.6/127.3/191; Amin+40, some Aphr+40; 6/8",7
327,DELTARUNE Chapters 3+4,Toby Fox - Dark Place,114,8A,A~A#min,7
328,Denzel Curry ft. TiaCorine & FERG,HOT ONE,81,8A,BPM: 81.5/163; Aphr,7
329,Deorro ft. Dycy & Adrian Delgado,Perdoname,111,8A,,7
330,Destiny's Child,8 Days of Christmas,100,8A,doesn't it feel like christmas,7
331,Digitalism,Magnets,132,8A,Emin bridge,7
332,Digitalism,Zdarlight,124,8A,inst,7
333,Digitalism,Zdrlt,128,8A,Rewind,7
334,Digitalism,Zdarlight / I Want I Want pt1,135,8A,Live at the Bunker,7
335,Digitalism,I Want I Want,135,8A,,7
336,Digitalism,Moonlight,127,8A,,7
337,Digitalism,The Pulse,136,8A,inst,7
338,Digitalism,The Pulse,128,8A,DerDieDas Rmx; inst,7
339,Digitalism,The Pulse,136,8A,Digitalism High Pulse Club Mix,7
340,Digitalism,The Pulse,100,8A,BPM: ~100-136; Live at the Bunker; inst,7
341,Digitalism,Home Zone,128,8A,Proxy Rmx; Aphr,7
342,"Disclosure, Channel Tres",Lavender,121,8A,,7
343,The Distillers,Drain The Blood,84,8A,BPM: 84.5/169; all my friends are murder,7
344,The Distillers,The Hunger,124,8A,,7
345,Dizzee Rascal ft. will.i.am,Something Really Bad,128,8A,,7
346,Dizzee Rascal,Holiday,118,8A,,7
347,"DJ CHARI & DJ TATSUKI ft. Tohji, Elle Teresa, UNEDUCATED KID & Futuristic Swaver",GOKU VIBES,75,8A,BPM: 75/150,7
348,"DJ Khaled ft. Travis Scott, Post Malone",Celebrate,101,8A,,7
349,DJ Mehdi,Stick It,112,8A,,7
350,DJ Shadow ft. Run The Jewels,Nobody Speak,80,8A,BPM: 80/160,7
351,DJ Shadow ft. De La Soul,Rocket Fuel,110,8A,Adr,7
352,"DJ Sliink, Skrillex, Wale, Austin Millz",Saint Laurent,132,8A,,7
353,DJ,Splash This Is My Life,145,8A,,7
354,Doechii,Girls,115,8A,end is Emin,7
355,Doechii,DENIAL IS A RIVER,93,8A,Ablues,7
356,Dog Blood,Middle Finger,122,8A,The M Machine Remix,7
357,Dog Blood,TURN OFF THE LIGHTS,128,8A,Adr,7
358,Donatachi ft. Muki,Bad Dream,144,8A,,7
359,Dorian Electra,Jackpot,85,8A,BPM: 85/170,7
360,Dorian Electra,Daddy Like,93,8A,,7
361,Dorian Electra,Musical Genius,92,8A,BPM: ~92; Aharm; Cmaj intro and end,7
362,Dorian Electra ft. Alice Glass & Faris Badwan,Iron Fist,75,8A,BPM: 75/150; Alice Glass Remix; triplet,7
363,Dorian Electra,Sodom & Gomorrah,110,8A,Aphrdom,7
364,Drake,Marvins Room,85,8A,,7
365,Drake,Signs,107,8A,,7
366,Drake,Fake Love,134,8A,,7
367,Drake ft. 21 Savage,Jimmy Cooks pt2,83,8A,BPM: 83/166,7
368,"Drake, 21 Savage",Rich Flex pt1,155,8A,can you do sum for me; Amin-20; Gmin-20 bridge,7
369,DRAM ft. H.E.R. & WATT,The Lay Down,130,8A,,7
370,Dua Lipa,New Rules,116,8A,,7
371,Dua Lipa,Physical,148,8A,,7
372,Dua Lipa ft. Troye Sivan,Physical,148,8A,,7
373,Ducky,Raver Boi,80,8A,BPM: 80/160,7
374,Duke Dumont ft. Shaun Ross,Red Light Green Light,124,8A,,7
375,Eagle-Eye Cherry,Save Tonight,120,8A,BPM: ~120/240,7
376,EARTHGANG,LaLa Challenge,140,8A,BPM: ~140; Aphrdom,7
377,Ecco2k,Fragile,100,8A,,7
378,Eddie Murphy ft. Snoop Lion,Red Light,142,8A,triplet swing,7
379,Eiffel 65,80's Stars,134,8A,,7
380,Eiffel 65,My Console,130,8A,,7
381,EISENFUNK,PENTAFUNK,140,8A,,7
382,El Chombo,Dame Tu Cosita,110,8A,,7
